연번,차지구명,행정동,서울특별시 용산구 설치장소,그늘막구분,그늘막지름
1,용산구,후암동,서울특별시 용산구 후암로 47 파리바게트 앞 횡단보도,접이식 고정형,5m
2,용산구,후암동,서울특별시 용산구 후암로 51 앞 횡단보도,접이식 고정형,5m
3,용산구,후암동,서울특별시 용산구 소월로 109 남산도서관 맞은편 횡단보도,접이식 고정형,5m
4,용산구,후암동,서울특별시 용산구 신흥로 152 건너편 교통섬,접이식 고정형,5m
5,용산구,남영동,서울특별시 용산구 한강대로77길 4-1 앞 횡단보도 ,접이식 고정형,5m
6,용산구,남영동,서울특별시 용산구 한강대로 259(고려빌딩) 앞 횡단보도,접이식 고정형,5m
7,용산구,남영동,서울특별시 용산구 한강대로 298숙대입구역 2번 출구 앞 교통섬,스마트,3.5m
8,용산구,남영동,서울특별시 용산구 숙대입구역 10번 출구 뒤 횡단보도,접이식 고정형,5m
9,용산구,남영동,서울특별시 용산구 한강대로 366 앞 횡단보도,접이식 고정형,5m
10,용산구,남영동,서울특별시 용산구 청파로 378 앞 횡단보도(소화병원 맞은편),스마트,4.4m
11,용산구,남영동,"서울특별시 용산구 남영동 18-3(숙대입구역 3,4번 출구) 앞 횡단보도",스마트,5.4m
12,용산구,청파동,서울특별시 용산구 만리재로 202(풍림아이원오피스텔) 앞,접이식 고정형,5m
13,용산구,청파동,서울특별시 용산구 청파로 304 삼일교회 입구 횡단보도,접이식 고정형,4m
14,용산구,청파동,서울특별시 용산구 청파동 297 앞 횡단보도,접이식 고정형,4m
15,용산구,청파동,서울특별시 용산구 청파로 322(동민의원 옆) 횡단보도,접이식 고정형,3m
16,용산구,원효로1동,서울특별시 용산구 원효로90길 11(더프라임) 앞 교통섬,접이식 고정형,3.5m
17,용산구,원효로1동,서울특별시 용산구 청파로 241 BMW한독모터스 앞,접이식 고정형,5m
18,용산구,원효로1동,서울특별시 용산구 백범로 341 용산리첸시아 앞 교통섬,스마트,5.4m
19,용산구,원효로1동,서울특별시 용산구 꿈나무종합타운 맞은편 교통섬(경의선숲길 방향),스마트,5.4m
20,용산구,원효로2동,서울특별시 용산구 원효로 71 앞 횡단보도 ,접이식 고정형,3m
21,용산구,원효로2동,서울특별시 용산구 원효로 57 앞 교통섬,접이식 고정형,5m
22,용산구,원효로2동,서울특별시 용산구 원효로 40 강변삼성아파트 정문 옆,접이식 고정형,4m
23,용산구,원효로2동,서울특별시 용산구 원효로4가 113-54천 횡단보도 ,접이식 고정형,3m
24,용산구,효창동,서울특별시 용산구 백범로 260 효창파크푸르지오 입구 옆 횡단보도,접이식 고정형,5m
25,용산구,효창동,서울특별시 용산구 효창동 롯데캐슬센터포레 101동 앞 횡단포도 옆,접이식 고정형,3m
26,용산구,용문동,서울특별시 용산구 효창공원앞역 3번출구 횡단보도 ,접이식 고정형,5m
27,용산구,용문동,서울특별시 용산구 효창공원앞역 3번출구 뒤 횡단보도 ,접이식 고정형,5m
28,용산구,용문동,서울특별시 용산구 효창공원앞역 6번출구 뒤,접이식 고정형,5m
29,용산구,용문동,서울특별시 용산구 효창공원앞역 5번출구 앞 횡단보도 ,접이식 고정형,5m
30,용산구,용문동,서울특별시 용산구 효창공원앞역 4번출구 입구 버스정류장(03-180),접이식 고정형,5m
31,용산구,한강로동,서울특별시 용산구 삼각지역 9번출구 앞 교통섬,접이식 고정형,5m
32,용산구,한강로동,서울특별시 용산구 삼각지역 9번출구 앞 교통섬 위(8번출구 방향 교통섬),접이식 고정형,5m
33,용산구,한강로동,서울특별시 용산구 삼각지역 8번출구 앞 교통섬,스마트,5.4m
34,용산구,한강로동,서울특별시 용산구 용산구자전거교통안전체험관 앞 교통섬,접이식 고정형,5m
35,용산구,한강로동,서울특별시 용산구 삼각지역 12번 출구 앞 교통섬,스마트,5.4m
36,용산구,한강로동,서울특별시 용산구 삼각지역 11번 출구 앞 교통섬,접이식 고정형,4m
37,용산구,한강로동,서울특별시 용산구 신용산역 5번출구 앞 횡단보도 ,접이식 고정형,5m
38,용산구,한강로동,서울특별시 용산구 용산구 한강로2가 316-1 앞,접이식 고정형,5m
39,용산구,한강로동,서울특별시 용산구 새창로 217 앞,접이식 고정형,5m
40,용산구,한강로동,서울특별시 용산구 용산역 맞은편,스마트,5.4m
41,용산구,한강로동,서울특별시 용산구 용산역 아이파크몰 맞은편,접이식 고정형,5m
42,용산구,한강로동,서울특별시 용산구 한강대로 69 용산푸르지오 써밋 앞 횡단보도 ,접이식 고정형,5m
43,용산구,한강로동,서울특별시 용산구 용산역앞 사거리 아우디 전시장 앞 횡단보도 ,접이식 고정형,5m
44,용산구,한강로동,서울특별시 용산구 한강대로 64 파파존스 앞 횡단보도 ,접이식 고정형,4m
